model,prompt_mode,demo_mode,demo_size,embedding_mode,retrieval_mode,thinking_mode,n_scored,n_abstained,accuracy,f1_macro,cohen_kappa,precision_true,recall_true,precision_false,recall_false
gemma-4-26B-A4B-it,title,dynamic,8,None,random,False,3263,0,0.8054,0.692,0.4022,0.3733,0.7807,0.962,0.809
gemma-4-26B-A4B-it,title,dynamic,8,dense,similarity,False,3263,0,0.8152,0.6911,0.3949,0.3795,0.7133,0.9521,0.8301
gemma-4-26B-A4B-it,explicit,dynamic,8,dense,diversity,False,3261,2,0.8473,0.6905,0.3824,0.421,0.5325,0.9291,0.8932
gemma-4-26B-A4B-it,title,dynamic,8,fusion,similarity,False,3263,0,0.8091,0.6904,0.3965,0.3744,0.747,0.9569,0.8181
gemma-4-26B-A4B-it,title,dynamic,8,sparse,similarity,False,3263,0,0.8026,0.6856,0.389,0.3664,0.7566,0.958,0.8093
gemma-4-26B-A4B-it,explicit,dynamic,8,None,random,False,3263,0,0.8477,0.6812,0.3631,0.4163,0.4916,0.9239,0.8996
gemma-4-26B-A4B-it,explicit,dynamic,8,sparse,similarity,False,3262,1,0.8363,0.6761,0.3545,0.3924,0.5229,0.9269,0.882
gemma-4-26B-A4B-it,implicit,None,0,None,None,False,3261,2,0.7915,0.676,0.3734,0.3526,0.7639,0.9585,0.7955
gemma-4-26B-A4B-it,description,None,0,None,None,False,3261,2,0.7823,0.6737,0.3741,0.3472,0.8072,0.9652,0.7786
gemma-4-E4B-it,explicit,dynamic,8,sparse,similarity,False,3263,0,0.799,0.6589,0.3302,0.3408,0.6217,0.9374,0.8248
gemma-4-26B-A4B-it,explicit,None,0,None,None,False,2615,648,0.7767,0.652,0.3249,0.3286,0.6833,0.9433,0.7907
gemma-4-E4B-it,explicit,dynamic,8,dense,similarity,False,3263,0,0.7815,0.65,0.3192,0.3243,0.6627,0.942,0.7988
gemma-4-E4B-it,explicit,dynamic,8,None,random,False,3262,1,0.798,0.6456,0.3011,0.3277,0.559,0.9283,0.8328
gemma-4-E4B-it,explicit,dynamic,8,fusion,similarity,False,3263,0,0.7766,0.6439,0.3079,0.3166,0.653,0.9402,0.7946
gemma-4-E4B-it,explicit,dynamic,8,dense,mmr,False,3263,0,0.7616,0.6437,0.317,0.3131,0.7325,0.9516,0.7658
gemma-4-E4B-it,explicit,dynamic,8,dense,diversity,False,3262,1,0.7918,0.6399,0.2911,0.3187,0.559,0.9278,0.8258
Qwen3.5-9B,explicit,dynamic,8,dense,similarity,False,3263,0,0.821,0.6364,0.2745,0.3384,0.4265,0.9131,0.8785
gemma-4-26B-A4B-it,title,None,0,None,None,False,3261,2,0.758,0.6305,0.2881,0.2989,0.6699,0.9412,0.7709
Qwen3.5-9B,implicit,dynamic,8,None,random,False,3261,2,0.7397,0.6302,0.3007,0.2976,0.7687,0.9561,0.7354
Qwen3.5-9B,explicit,dynamic,8,dense,mmr,False,3263,0,0.8177,0.6279,0.2574,0.3263,0.4072,0.9104,0.8775
Qwen3.5-9B,explicit,dynamic,8,fusion,similarity,False,3263,0,0.818,0.6269,0.2552,0.3255,0.4024,0.9098,0.8785
Qwen3.5-9B,description,dynamic,8,dense,diversity,False,3261,2,0.7516,0.6262,0.2822,0.2936,0.6771,0.9418,0.7625
Qwen3.5-9B,description,dynamic,8,None,random,False,3261,2,0.7492,0.6261,0.2836,0.2933,0.6892,0.9436,0.7579
gemma-4-E4B-it,description,dynamic,8,dense,diversity,False,3263,0,0.7147,0.6121,0.2768,0.2795,0.788,0.958,0.704
Qwen3.5-9B,implicit,dynamic,8,dense,diversity,False,3261,2,0.7222,0.6103,0.266,0.2766,0.7325,0.9487,0.7207
gemma-4-E4B-it,description,dynamic,8,None,random,False,3263,0,0.707,0.6085,0.2746,0.2766,0.8072,0.961,0.6924
Qwen3.5-9B,explicit,dynamic,8,sparse,similarity,False,3263,0,0.8388,0.6056,0.2123,0.3363,0.2747,0.8971,0.921
gemma-4-E4B-it,title,dynamic,8,dense,diversity,False,3263,0,0.7064,0.5996,0.2528,0.2666,0.747,0.95,0.7005
gemma-4-E4B-it,title,dynamic,8,dense,similarity,False,3263,0,0.7058,0.5995,0.253,0.2665,0.7494,0.9504,0.6994
Qwen3.5-9B,explicit,None,0,None,None,False,3263,0,0.8109,0.5975,0.1955,0.286,0.3253,0.8997,0.8817
gemma-4-E4B-it,description,dynamic,8,dense,similarity,False,3263,0,0.6966,0.5975,0.2564,0.2661,0.788,0.9567,0.6833
Qwen3.5-9B,implicit,dynamic,8,fusion,similarity,False,3262,1,0.7051,0.5972,0.2479,0.264,0.7373,0.9482,0.7004
Qwen3.5-9B,implicit,dynamic,8,dense,mmr,False,3262,1,0.702,0.5972,0.2506,0.2646,0.7542,0.9509,0.6944
Qwen3.5-9B,implicit,dynamic,8,sparse,similarity,False,3263,0,0.7076,0.5971,0.2454,0.2634,0.7229,0.9459,0.7054
gemma-4-E4B-it,description,None,0,None,None,False,3263,0,0.7055,0.5968,0.2465,0.2634,0.7325,0.9474,0.7015
Qwen3.5-9B,implicit,dynamic,8,dense,similarity,False,3262,1,0.7091,0.5965,0.2426,0.2625,0.7108,0.9439,0.7088
gemma-4-E4B-it,title,dynamic,8,fusion,similarity,False,3263,0,0.6945,0.5965,0.2557,0.2653,0.7928,0.9575,0.6801
gemma-4-E4B-it,description,dynamic,8,fusion,similarity,False,3263,0,0.6853,0.5942,0.2589,0.265,0.8313,0.9643,0.664
Qwen3.5-9B,description,dynamic,8,sparse,similarity,False,3262,1,0.7149,0.5932,0.2298,0.2578,0.6602,0.9359,0.7229
gemma-4-E4B-it,explicit,None,0,None,None,False,3258,5,0.795,0.5884,0.1791,0.2636,0.3398,0.8994,0.8614
gemma-4-E4B-it,title,dynamic,8,sparse,similarity,False,3263,0,0.6865,0.5822,0.2269,0.2504,0.7349,0.9462,0.6794
gemma-4-E4B-it,implicit,dynamic,8,dense,similarity,False,3263,0,0.6745,0.5817,0.2374,0.2532,0.8,0.9575,0.6562
Qwen3.5-9B,description,dynamic,8,fusion,similarity,False,3263,0,0.6917,0.5799,0.2163,0.2464,0.6916,0.939,0.6917
Qwen3.5-9B,title,dynamic,8,dense,diversity,False,3261,2,0.6891,0.578,0.2136,0.2447,0.6916,0.9387,0.6887
gemma-4-E4B-it,title,dynamic,8,dense,mmr,False,3263,0,0.6666,0.5774,0.2343,0.2506,0.8145,0.9598,0.645
Qwen3.5-9B,description,dynamic,8,dense,similarity,False,3262,1,0.683,0.5761,0.2145,0.244,0.7108,0.9415,0.679
gemma-4-E4B-it,description,dynamic,8,sparse,similarity,False,3263,0,0.6666,0.5749,0.2278,0.2476,0.7952,0.956,0.6478
gemma-4-E4B-it,title,dynamic,8,None,random,False,3263,0,0.6804,0.5741,0.2117,0.2422,0.7108,0.9413,0.6759
Qwen3.5-9B,description,dynamic,8,dense,mmr,False,3262,1,0.675,0.5731,0.2143,0.2426,0.7325,0.9447,0.6667
gemma-4-E4B-it,implicit,dynamic,8,None,random,False,3263,0,0.6635,0.5723,0.224,0.2453,0.7928,0.9553,0.6447
gemma-4-E4B-it,implicit,dynamic,8,dense,diversity,False,3263,0,0.6626,0.5716,0.2231,0.2448,0.7928,0.9552,0.6436
Qwen3.5-9B,explicit,dynamic,8,None,random,False,3261,2,0.8531,0.57,0.1509,0.34,0.1639,0.8866,0.9536
Qwen3.5-9B,explicit,dynamic,8,dense,diversity,False,3262,1,0.8492,0.5678,0.1448,0.3209,0.1663,0.8864,0.9487
gemma-4-E4B-it,description,dynamic,8,dense,mmr,False,3263,0,0.646,0.567,0.2296,0.2455,0.8602,0.9679,0.6148
gemma-4-E4B-it,implicit,dynamic,8,sparse,similarity,False,3263,0,0.6457,0.5614,0.2144,0.2385,0.8145,0.9583,0.6211
Qwen3.5-9B,implicit,None,0,None,None,False,3262,1,0.8728,0.5578,0.1445,0.5,0.1133,0.8838,0.9835
gemma-4-E4B-it,implicit,dynamic,8,fusion,similarity,False,3263,0,0.6387,0.5566,0.2096,0.2355,0.8193,0.9588,0.6124
Qwen3.5-9B,title,dynamic,8,None,random,False,3260,3,0.6678,0.5532,0.1701,0.2203,0.6337,0.9264,0.6728
gemma-4-E4B-it,implicit,dynamic,8,dense,mmr,False,3263,0,0.6221,0.5482,0.2067,0.2323,0.8554,0.9654,0.5881
Qwen3.5-9B,description,None,0,None,None,False,3262,1,0.66,0.541,0.1464,0.2074,0.5928,0.9186,0.6698
Qwen3.5-9B,title,dynamic,8,sparse,similarity,False,3263,0,0.6335,0.538,0.1653,0.2139,0.7036,0.9352,0.6232
gemma-4-E4B-it,title,None,0,None,None,False,3263,0,0.6059,0.5249,0.1618,0.2099,0.759,0.9432,0.5836
Qwen3.5-9B,title,dynamic,8,fusion,similarity,False,3263,0,0.5857,0.5107,0.1478,0.2018,0.7639,0.9421,0.5597
Qwen3.5-9B,title,None,0,None,None,False,3263,0,0.6139,0.5088,0.1085,0.1845,0.5952,0.9127,0.6166
Qwen3.5-9B,title,dynamic,8,dense,similarity,False,3263,0,0.5801,0.5075,0.146,0.2006,0.7711,0.943,0.5523
Qwen3.5-9B,title,dynamic,8,dense,mmr,False,3262,1,0.576,0.5067,0.1493,0.202,0.7904,0.9469,0.5448
EuroLLM-22B-Instruct-2512,explicit,dynamic,8,sparse,similarity,False,3262,1,0.5392,0.4745,0.1074,0.1804,0.7398,0.9308,0.51
EuroLLM-22B-Instruct-2512,explicit,dynamic,8,dense,similarity,False,3262,1,0.523,0.4729,0.1295,0.1901,0.8434,0.9543,0.4763
EuroLLM-22B-Instruct-2512,explicit,dynamic,8,fusion,similarity,False,3262,1,0.5172,0.4643,0.1119,0.1817,0.7976,0.9417,0.4763
EuroLLM-22B-Instruct-2512,implicit,dynamic,8,dense,similarity,False,3261,2,0.4854,0.4471,0.1151,0.1822,0.8723,0.9584,0.429
EuroLLM-22B-Instruct-2512,explicit,dynamic,8,dense,mmr,False,3261,2,0.4756,0.4379,0.1032,0.1764,0.8506,0.9508,0.4209
EuroLLM-22B-Instruct-2512,description,dynamic,8,dense,similarity,False,3262,1,0.4739,0.436,0.1001,0.1749,0.8434,0.9485,0.4201
EuroLLM-22B-Instruct-2512,explicit,dynamic,8,None,random,False,3262,1,0.4795,0.4338,0.0808,0.1661,0.7687,0.9284,0.4373
EuroLLM-22B-Instruct-2512,implicit,dynamic,8,fusion,similarity,False,3262,1,0.4672,0.4333,0.1053,0.1772,0.8747,0.9571,0.4078
EuroLLM-22B-Instruct-2512,description,dynamic,8,sparse,similarity,False,3263,0,0.4646,0.4278,0.0907,0.1703,0.8289,0.9429,0.4115
EuroLLM-22B-Instruct-2512,implicit,dynamic,8,sparse,similarity,False,3262,1,0.4589,0.4266,0.0994,0.1742,0.8699,0.9546,0.399
EuroLLM-22B-Instruct-2512,description,dynamic,8,fusion,similarity,False,3262,1,0.4592,0.4252,0.0934,0.1715,0.8482,0.9479,0.4025
gemma-4-E4B-it,implicit,None,0,None,None,False,3256,7,0.4481,0.4198,0.0997,0.1744,0.8916,0.9603,0.3833
EuroLLM-22B-Instruct-2512,explicit,dynamic,8,dense,diversity,False,3262,1,0.4531,0.4172,0.0774,0.164,0.8048,0.9339,0.4018
EuroLLM-22B-Instruct-2512,implicit,dynamic,8,dense,mmr,False,3261,2,0.4425,0.4157,0.098,0.1733,0.8964,0.9614,0.3763
EuroLLM-22B-Instruct-2512,description,dynamic,8,None,random,False,3262,1,0.431,0.4044,0.0826,0.166,0.8627,0.9484,0.3681
EuroLLM-22B-Instruct-2512,description,dynamic,8,dense,mmr,False,3262,1,0.4218,0.3985,0.084,0.1664,0.8843,0.9546,0.3544
EuroLLM-22B-Instruct-2512,title,dynamic,8,dense,similarity,False,3262,1,0.4181,0.3953,0.0808,0.1649,0.8795,0.9523,0.3509
EuroLLM-22B-Instruct-2512,title,dynamic,8,sparse,similarity,False,3263,0,0.4131,0.3919,0.081,0.1649,0.8892,0.9551,0.3438
EuroLLM-22B-Instruct-2512,description,dynamic,8,dense,diversity,False,3262,1,0.4132,0.3885,0.0657,0.1579,0.8337,0.9356,0.3519
EuroLLM-22B-Instruct-2512,title,dynamic,8,fusion,similarity,False,3263,0,0.4033,0.3851,0.0814,0.1649,0.9084,0.9611,0.3297
EuroLLM-22B-Instruct-2512,implicit,dynamic,8,dense,diversity,False,3261,2,0.3821,0.3672,0.0688,0.159,0.8988,0.9541,0.3067
EuroLLM-22B-Instruct-2512,title,dynamic,8,dense,diversity,False,3263,0,0.3794,0.3619,0.0519,0.1512,0.841,0.9309,0.3121
EuroLLM-22B-Instruct-2512,title,dynamic,8,None,random,False,3262,1,0.3758,0.3584,0.047,0.149,0.8289,0.9255,0.3098
EuroLLM-22B-Instruct-2512,explicit,None,0,None,None,False,3262,1,0.366,0.3577,0.0851,0.1661,0.9904,0.9949,0.275
EuroLLM-22B-Instruct-2512,implicit,dynamic,8,None,random,False,3262,1,0.3697,0.3556,0.0561,0.1531,0.8723,0.9409,0.2965
EuroLLM-22B-Instruct-2512,title,dynamic,8,dense,mmr,False,3262,1,0.363,0.3521,0.0652,0.1571,0.9181,0.9594,0.2821
EuroLLM-22B-Instruct-2512,description,None,0,None,None,False,3263,0,0.2228,0.2224,0.0231,0.1374,0.9687,0.9615,0.1141
EuroLLM-22B-Instruct-2512,implicit,None,0,None,None,False,3263,0,0.2121,0.2112,0.0184,0.1353,0.9639,0.9511,0.1025
EuroLLM-22B-Instruct-2512,title,None,0,None,None,False,3263,0,0.1744,0.1694,0.0122,0.1325,0.9904,0.9753,0.0555
