model,prompt_mode,demo_mode,demo_size,embedding_mode,retrieval_mode,thinking_mode,fold,n_scored,n_abstained,accuracy,f1_macro,precision_true,recall_true,precision_false,recall_false
gemma-4-26B-A4B-it,title,dynamic,8,dense,mmr,False,3,815,0,0.8147,0.6753,0.3652,0.6311,0.9403,0.8413
gemma-4-26B-A4B-it,description,dynamic,8,dense,diversity,False,3,815,0,0.7926,0.6752,0.3514,0.7573,0.9578,0.7978
gemma-4-26B-A4B-it,title,dynamic,8,None,random,False,3,815,0,0.7988,0.675,0.3541,0.7184,0.9521,0.8104
gemma-4-26B-A4B-it,title,dynamic,8,dense,similarity,False,0,816,0,0.8051,0.6745,0.359,0.6731,0.9452,0.8244
gemma-4-26B-A4B-it,title,dynamic,8,sparse,similarity,False,3,815,0,0.8049,0.671,0.3542,0.6602,0.9438,0.8258
gemma-4-26B-A4B-it,description,None,0,None,None,False,0,815,1,0.7718,0.6698,0.3411,0.8462,0.9713,0.7609
gemma-4-26B-A4B-it,title,dynamic,8,dense,mmr,False,0,816,0,0.7929,0.6676,0.346,0.7019,0.9488,0.8062
gemma-4-26B-A4B-it,title,dynamic,8,fusion,similarity,False,0,816,0,0.7819,0.6604,0.3348,0.7212,0.951,0.7907
Qwen3.5-9B,description,dynamic,8,None,random,False,1,816,0,0.7708,0.6563,0.3278,0.7596,0.9565,0.7725
Qwen3.5-9B,explicit,None,0,None,None,False,0,816,0,0.8382,0.6559,0.3814,0.4327,0.9155,0.8975
gemma-4-26B-A4B-it,implicit,None,0,None,None,False,3,814,1,0.7862,0.655,0.3301,0.6699,0.9438,0.8031
gemma-4-26B-A4B-it,title,None,0,None,None,False,2,816,0,0.7708,0.6549,0.3264,0.75,0.9549,0.7739
gemma-4-26B-A4B-it,explicit,None,0,None,None,False,2,651,165,0.7803,0.6534,0.3239,0.7037,0.9495,0.7912
gemma-4-26B-A4B-it,description,None,0,None,None,False,3,814,1,0.7752,0.6514,0.323,0.7087,0.949,0.7848
Qwen3.5-9B,implicit,dynamic,8,None,random,False,2,816,0,0.7512,0.6512,0.32,0.8462,0.9704,0.7374
Qwen3.5-9B,description,dynamic,8,dense,diversity,False,1,816,0,0.7672,0.6501,0.3208,0.7404,0.9531,0.7711
gemma-4-26B-A4B-it,explicit,None,0,None,None,False,3,649,166,0.775,0.6448,0.3254,0.6322,0.9333,0.7972
Qwen3.5-9B,implicit,dynamic,8,dense,diversity,False,3,814,1,0.7604,0.6444,0.313,0.7476,0.9542,0.7623
gemma-4-E4B-it,description,dynamic,8,dense,diversity,False,1,816,0,0.7365,0.6359,0.3039,0.8269,0.9662,0.7233
Qwen3.5-9B,implicit,dynamic,8,None,random,False,1,816,0,0.739,0.634,0.3018,0.7981,0.9612,0.7303
gemma-4-26B-A4B-it,title,None,0,None,None,False,0,815,1,0.7571,0.6337,0.3025,0.6923,0.9445,0.7665
Qwen3.5-9B,implicit,dynamic,8,None,random,False,3,814,1,0.7555,0.6325,0.3,0.699,0.946,0.7637
gemma-4-26B-A4B-it,title,None,0,None,None,False,1,816,0,0.7574,0.6306,0.2991,0.6731,0.9416,0.7697
gemma-4-E4B-it,description,dynamic,8,dense,diversity,False,2,816,0,0.7243,0.6305,0.299,0.8654,0.9728,0.7037
Qwen3.5-9B,description,dynamic,8,dense,diversity,False,3,814,1,0.758,0.6298,0.2974,0.6699,0.9416,0.7707
gemma-4-26B-A4B-it,explicit,None,0,None,None,False,1,669,147,0.7549,0.6296,0.3005,0.6667,0.9391,0.768
Qwen3.5-9B,description,dynamic,8,dense,diversity,False,0,815,1,0.7534,0.6241,0.2918,0.6538,0.9381,0.7679
gemma-4-E4B-it,description,dynamic,8,None,random,False,1,816,0,0.7132,0.6237,0.293,0.8846,0.9761,0.6882
Qwen3.5-9B,description,dynamic,8,None,random,False,0,815,1,0.7362,0.6205,0.2874,0.7212,0.9477,0.7384
Qwen3.5-9B,implicit,dynamic,8,dense,diversity,False,2,816,0,0.7267,0.6196,0.2867,0.7692,0.9553,0.7205
Qwen3.5-9B,description,dynamic,8,None,random,False,3,814,1,0.7592,0.6188,0.2857,0.6019,0.9313,0.782
Qwen3.5-9B,implicit,dynamic,8,dense,similarity,False,3,815,0,0.7387,0.6133,0.2782,0.6699,0.94,0.7486
gemma-4-E4B-it,title,dynamic,8,dense,diversity,False,1,816,0,0.712,0.6102,0.278,0.7885,0.9578,0.7008
gemma-4-E4B-it,title,dynamic,8,dense,similarity,False,3,815,0,0.7387,0.6101,0.2746,0.6505,0.937,0.7514
gemma-4-E4B-it,description,dynamic,8,None,random,False,2,816,0,0.7047,0.6094,0.2783,0.8269,0.9645,0.6868
gemma-4-E4B-it,description,None,0,None,None,False,0,816,0,0.7157,0.6092,0.2762,0.7596,0.9528,0.7093
Qwen3.5-9B,description,dynamic,8,None,random,False,2,816,0,0.7304,0.608,0.2734,0.6731,0.9393,0.7388
gemma-4-E4B-it,title,dynamic,8,dense,diversity,False,2,816,0,0.6998,0.6079,0.2776,0.8462,0.9679,0.6784
Qwen3.5-9B,implicit,dynamic,8,dense,similarity,False,1,816,0,0.7083,0.6072,0.2752,0.7885,0.9575,0.6966
Qwen3.5-9B,implicit,dynamic,8,dense,mmr,False,3,815,0,0.7264,0.6064,0.271,0.6893,0.9421,0.7317
Qwen3.5-9B,implicit,dynamic,8,sparse,similarity,False,2,816,0,0.712,0.6062,0.2734,0.7596,0.9526,0.7051
Qwen3.5-9B,implicit,dynamic,8,sparse,similarity,False,1,816,0,0.7145,0.6054,0.2721,0.7404,0.9493,0.7107
gemma-4-E4B-it,description,dynamic,8,fusion,similarity,False,1,816,0,0.6912,0.6045,0.2758,0.875,0.9733,0.6643
gemma-4-E4B-it,title,dynamic,8,dense,similarity,False,2,816,0,0.6998,0.6042,0.2733,0.8173,0.9624,0.6826
Qwen3.5-9B,implicit,dynamic,8,dense,diversity,False,1,816,0,0.7145,0.604,0.2705,0.7308,0.9477,0.7121
Qwen3.5-9B,implicit,dynamic,8,dense,mmr,False,2,816,0,0.7059,0.6039,0.2718,0.7788,0.9556,0.6952
gemma-4-E4B-it,explicit,None,0,None,None,False,1,816,0,0.8039,0.6037,0.2879,0.3654,0.9035,0.868
gemma-4-E4B-it,description,dynamic,8,None,random,False,0,816,0,0.6973,0.6034,0.273,0.8269,0.9641,0.6784
Qwen3.5-9B,implicit,dynamic,8,None,random,False,0,815,1,0.7129,0.6028,0.2695,0.7308,0.9475,0.7103
Qwen3.5-9B,implicit,dynamic,8,fusion,similarity,False,3,814,1,0.7236,0.6027,0.2672,0.6796,0.9402,0.73
Qwen3.5-9B,implicit,dynamic,8,fusion,similarity,False,2,816,0,0.7034,0.602,0.27,0.7788,0.9554,0.6924
gemma-4-E4B-it,description,dynamic,8,dense,similarity,False,0,816,0,0.6936,0.6017,0.2719,0.8365,0.9657,0.6728
gemma-4-26B-A4B-it,title,None,0,None,None,False,3,814,1,0.7469,0.6013,0.2648,0.5631,0.9244,0.7736
Qwen3.5-9B,description,dynamic,8,dense,diversity,False,2,816,0,0.7279,0.6012,0.2659,0.6442,0.9344,0.7402
Qwen3.5-9B,title,dynamic,8,dense,diversity,False,1,816,0,0.7059,0.6012,0.2687,0.7596,0.9521,0.698
Qwen3.5-9B,description,dynamic,8,sparse,similarity,False,1,816,0,0.7194,0.6006,0.2659,0.6827,0.9399,0.7247
gemma-4-E4B-it,title,dynamic,8,fusion,similarity,False,2,816,0,0.6912,0.5997,0.2702,0.8365,0.9656,0.6699
gemma-4-E4B-it,description,dynamic,8,dense,diversity,False,0,816,0,0.6973,0.5997,0.2686,0.7981,0.9586,0.6826
gemma-4-E4B-it,description,dynamic,8,fusion,similarity,False,0,816,0,0.6875,0.5992,0.2705,0.8558,0.9692,0.6629
gemma-4-E4B-it,explicit,None,0,None,None,False,0,815,1,0.8049,0.599,0.2835,0.3462,0.9012,0.872
Qwen3.5-9B,description,dynamic,8,dense,mmr,False,1,816,0,0.6961,0.5987,0.2677,0.7981,0.9585,0.6812
Qwen3.5-9B,implicit,dynamic,8,dense,similarity,False,2,816,0,0.7096,0.5986,0.265,0.7212,0.9456,0.7079
Qwen3.5-9B,description,dynamic,8,sparse,similarity,False,3,814,1,0.7359,0.5977,0.2607,0.5922,0.9276,0.7567
gemma-4-E4B-it,description,dynamic,8,dense,similarity,False,1,816,0,0.69,0.5975,0.2679,0.8269,0.9636,0.6699
gemma-4-E4B-it,description,None,0,None,None,False,3,815,0,0.7166,0.5969,0.2612,0.6796,0.9397,0.7219
gemma-4-E4B-it,title,dynamic,8,dense,mmr,False,1,816,0,0.6814,0.5966,0.2692,0.875,0.9728,0.6531
Qwen3.5-9B,title,dynamic,8,dense,diversity,False,3,814,1,0.7101,0.5964,0.2616,0.7087,0.9439,0.7103
Qwen3.5-9B,implicit,dynamic,8,dense,mmr,False,1,816,0,0.6949,0.5964,0.2654,0.7885,0.9566,0.6812
gemma-4-E4B-it,title,dynamic,8,dense,similarity,False,0,816,0,0.6961,0.5961,0.2647,0.7788,0.9549,0.684
gemma-4-E4B-it,title,dynamic,8,fusion,similarity,False,1,816,0,0.6924,0.5957,0.2652,0.7981,0.9583,0.677
gemma-4-E4B-it,description,dynamic,8,None,random,False,3,815,0,0.7129,0.5955,0.2601,0.6893,0.941,0.7163
gemma-4-E4B-it,description,dynamic,8,fusion,similarity,False,3,815,0,0.7055,0.5955,0.2613,0.7282,0.947,0.7022
gemma-4-E4B-it,title,dynamic,8,fusion,similarity,False,0,816,0,0.69,0.5951,0.265,0.8077,0.9599,0.6728
Qwen3.5-9B,implicit,dynamic,8,fusion,similarity,False,1,816,0,0.6998,0.595,0.2626,0.75,0.9499,0.6924
gemma-4-E4B-it,title,dynamic,8,sparse,similarity,False,0,816,0,0.6961,0.5948,0.2632,0.7692,0.9531,0.6854
gemma-4-E4B-it,title,dynamic,8,fusion,similarity,False,3,815,0,0.7043,0.5946,0.2604,0.7282,0.9469,0.7008
gemma-4-E4B-it,description,dynamic,8,dense,similarity,False,3,815,0,0.719,0.5942,0.2577,0.6505,0.9351,0.7289
gemma-4-E4B-it,description,dynamic,8,dense,similarity,False,2,816,0,0.6838,0.5939,0.2652,0.8365,0.9652,0.6615
gemma-4-E4B-it,title,dynamic,8,dense,diversity,False,0,816,0,0.6949,0.5938,0.2623,0.7692,0.953,0.684
Qwen3.5-9B,description,dynamic,8,dense,similarity,False,3,814,1,0.7039,0.593,0.2587,0.7184,0.9451,0.7018
Qwen3.5-9B,description,dynamic,8,fusion,similarity,False,3,815,0,0.7055,0.5927,0.258,0.7087,0.9436,0.7051
gemma-4-E4B-it,description,None,0,None,None,False,1,816,0,0.6998,0.5908,0.2577,0.7212,0.9448,0.6966
Qwen3.5-9B,explicit,None,0,None,None,False,1,816,0,0.7978,0.5899,0.2672,0.3365,0.8993,0.8652
gemma-4-E4B-it,description,None,0,None,None,False,2,816,0,0.69,0.5899,0.2589,0.7692,0.9527,0.6784
Qwen3.5-9B,implicit,dynamic,8,sparse,similarity,False,3,815,0,0.7055,0.5897,0.2545,0.6893,0.9403,0.7079
gemma-4-E4B-it,implicit,dynamic,8,dense,diversity,False,1,816,0,0.674,0.5897,0.2632,0.8654,0.9705,0.6461
gemma-4-E4B-it,title,dynamic,8,None,random,False,2,816,0,0.6875,0.5893,0.2588,0.7788,0.9543,0.6742
Qwen3.5-9B,implicit,dynamic,8,fusion,similarity,False,0,816,0,0.6936,0.5888,0.2567,0.7404,0.9477,0.6868
gemma-4-E4B-it,explicit,None,0,None,None,False,3,813,2,0.7921,0.5884,0.2609,0.3495,0.9007,0.8563
Qwen3.5-9B,description,dynamic,8,fusion,similarity,False,1,816,0,0.6998,0.588,0.2544,0.7019,0.9414,0.6994
Qwen3.5-9B,description,dynamic,8,sparse,similarity,False,2,816,0,0.7034,0.5879,0.2536,0.6827,0.9384,0.7065
gemma-4-E4B-it,implicit,dynamic,8,None,random,False,3,815,0,0.6969,0.5873,0.2534,0.7184,0.9446,0.6938
gemma-4-E4B-it,description,dynamic,8,sparse,similarity,False,0,816,0,0.6814,0.587,0.2578,0.7981,0.9575,0.6643
Qwen3.5-9B,implicit,dynamic,8,sparse,similarity,False,0,816,0,0.6985,0.587,0.2535,0.7019,0.9413,0.698
gemma-4-E4B-it,title,dynamic,8,dense,similarity,False,1,816,0,0.6887,0.5863,0.2549,0.75,0.949,0.6798
Qwen3.5-9B,description,dynamic,8,sparse,similarity,False,0,816,0,0.701,0.586,0.2518,0.6827,0.9382,0.7037
gemma-4-E4B-it,implicit,dynamic,8,dense,similarity,False,3,815,0,0.7018,0.5853,0.25,0.6796,0.9383,0.7051
gemma-4-E4B-it,title,dynamic,8,sparse,similarity,False,1,816,0,0.6912,0.5841,0.2517,0.7212,0.944,0.6868
gemma-4-E4B-it,implicit,dynamic,8,dense,similarity,False,0,816,0,0.6679,0.5837,0.258,0.8558,0.9682,0.6404
gemma-4-E4B-it,title,dynamic,8,dense,diversity,False,3,815,0,0.719,0.5825,0.2439,0.5825,0.9244,0.7388
Qwen3.5-9B,explicit,None,0,None,None,False,3,815,0,0.8147,0.5822,0.2692,0.2718,0.8945,0.8933
Qwen3.5-9B,implicit,None,0,None,None,False,0,815,1,0.8773,0.5821,0.5769,0.1442,0.8872,0.9845
gemma-4-E4B-it,implicit,dynamic,8,dense,diversity,False,2,816,0,0.6716,0.5818,0.2545,0.8173,0.9606,0.6503
Qwen3.5-9B,implicit,dynamic,8,dense,mmr,False,0,815,1,0.681,0.5817,0.2516,0.7596,0.9501,0.6695
gemma-4-E4B-it,description,dynamic,8,dense,diversity,False,3,815,0,0.7006,0.5813,0.2455,0.6602,0.9349,0.7065
gemma-4-E4B-it,implicit,dynamic,8,dense,similarity,False,1,816,0,0.6703,0.5809,0.2537,0.8173,0.9605,0.6489
Qwen3.5-9B,description,dynamic,8,dense,similarity,False,1,816,0,0.6814,0.5806,0.25,0.75,0.9484,0.6713
Qwen3.5-9B,description,dynamic,8,fusion,similarity,False,2,816,0,0.6998,0.5806,0.2455,0.6538,0.9332,0.7065
gemma-4-E4B-it,title,dynamic,8,dense,mmr,False,3,815,0,0.6883,0.5792,0.2458,0.7087,0.9421,0.6854
gemma-4-E4B-it,implicit,dynamic,8,None,random,False,2,816,0,0.6679,0.5778,0.2507,0.8077,0.9584,0.6475
Qwen3.5-9B,title,dynamic,8,None,random,False,1,815,1,0.6871,0.5769,0.2441,0.6923,0.9385,0.6864
gemma-4-E4B-it,title,dynamic,8,sparse,similarity,False,2,816,0,0.6728,0.5766,0.2477,0.7692,0.9513,0.6587
gemma-4-E4B-it,description,dynamic,8,sparse,similarity,False,1,816,0,0.663,0.5764,0.2507,0.8269,0.9619,0.639
gemma-4-E4B-it,description,dynamic,8,fusion,similarity,False,2,816,0,0.6569,0.5762,0.2528,0.8654,0.9696,0.6264
gemma-4-E4B-it,implicit,dynamic,8,None,random,False,1,816,0,0.6593,0.5758,0.2514,0.8462,0.9657,0.632
Qwen3.5-9B,implicit,dynamic,8,dense,diversity,False,0,815,1,0.6871,0.5754,0.2423,0.6827,0.9368,0.6878
gemma-4-E4B-it,implicit,dynamic,8,dense,similarity,False,2,816,0,0.6581,0.5749,0.2507,0.8462,0.9656,0.6306
Qwen3.5-9B,description,dynamic,8,dense,similarity,False,2,816,0,0.6826,0.5747,0.2425,0.7019,0.9398,0.6798
gemma-4-E4B-it,title,dynamic,8,None,random,False,3,815,0,0.6933,0.5742,0.2384,0.6505,0.9326,0.6994
gemma-4-E4B-it,description,dynamic,8,dense,mmr,False,2,816,0,0.6471,0.574,0.254,0.9135,0.9796,0.6081
gemma-4-E4B-it,title,dynamic,8,sparse,similarity,False,3,815,0,0.6859,0.573,0.2389,0.6796,0.9368,0.6868
Qwen3.5-9B,description,dynamic,8,dense,mmr,False,2,816,0,0.6728,0.5727,0.2429,0.7404,0.9459,0.6629
Qwen3.5-9B,description,dynamic,8,dense,mmr,False,3,814,1,0.6794,0.5725,0.2401,0.7087,0.9412,0.6751
gemma-4-E4B-it,implicit,dynamic,8,sparse,similarity,False,1,816,0,0.652,0.5713,0.2486,0.8558,0.9672,0.6222
gemma-4-E4B-it,description,dynamic,8,dense,mmr,False,3,815,0,0.665,0.5707,0.2424,0.7767,0.9526,0.6489
gemma-4-E4B-it,title,dynamic,8,dense,mmr,False,0,816,0,0.6556,0.5695,0.245,0.8173,0.9595,0.632
gemma-4-E4B-it,description,dynamic,8,sparse,similarity,False,2,816,0,0.6495,0.5694,0.2472,0.8558,0.9671,0.6194
Qwen3.5-9B,title,dynamic,8,dense,diversity,False,2,816,0,0.6789,0.5691,0.2367,0.6827,0.936,0.6784
Qwen3.5-9B,implicit,None,0,None,None,False,1,816,0,0.8762,0.5688,0.5652,0.125,0.8852,0.986
Qwen3.5-9B,implicit,dynamic,8,dense,similarity,False,0,815,1,0.6798,0.5669,0.2339,0.6635,0.9327,0.6821
gemma-4-E4B-it,title,dynamic,8,None,random,False,0,816,0,0.674,0.5668,0.2353,0.6923,0.9373,0.6713
gemma-4-E4B-it,implicit,dynamic,8,sparse,similarity,False,0,816,0,0.6483,0.5662,0.2437,0.8365,0.963,0.6208
gemma-4-E4B-it,description,dynamic,8,sparse,similarity,False,3,815,0,0.6724,0.5657,0.2338,0.699,0.9389,0.6685
gemma-4-E4B-it,title,dynamic,8,None,random,False,1,816,0,0.6667,0.5653,0.2358,0.7212,0.9418,0.6587
gemma-4-E4B-it,implicit,dynamic,8,fusion,similarity,False,1,816,0,0.6385,0.5652,0.2467,0.8942,0.9749,0.6011
gemma-4-E4B-it,description,dynamic,8,dense,mmr,False,0,816,0,0.6397,0.564,0.2446,0.875,0.9707,0.6053
gemma-4-E4B-it,explicit,None,0,None,None,False,2,814,2,0.7789,0.5632,0.2246,0.2981,0.892,0.8493
