,description,final_label,step_c_d_choice,step_e_choice,step_f_choice,step_g_choice,step_h_choice,step_i_choice,id,DEF
12,"Ordnung herstellen, warnen und dann Schußbefehl, eine deutliche Sprache die auch verstanden wird, Gut hin oder her - wir haben es nicht mit notleidenden Menschen zu tun - hier steckt ein religiöser Wahnsinn dahinter - wir müßen und wir wollen uns nicht vereinnehmen lassen - deshalb handeln soweit wir noch dazu in der Lage sind -.",False,False,none,none,none,none,none,982743955097361,False
13,"Hast du Allah in der Birne, ist kein Platz mehrfürs Gehirne...",False,False,none,none,none,none,none,894880870550337,False
14,ich  finde wir sollten nicht an irgendwelchen zahlen festhalten das machen schon die linksgespülten. wichtig ist wir sind auf der straße und man nimmt uns wahr als stachel im fleisch der nation,False,False,none,none,none,none,none,856756991029392,False
15,Ramon De la Perez: Ist ein Internettroll.,False,True,False,none,none,none,none,982693671769056,False
17,"Menschlichkeit gegenüber ECHTE Flüchtlinge und Hilfe ist selbsverständlich.Auch gegen Ausländer aller Colour habe ich nichts , garnichts ! Willkommen ! Gegen Muslime die sich hier nicht anpassen wollen und in Ihrer Islam Welt leben möchten und noch darüber hinaus durch Ihre radikale Ansichten uns gefährden ,MÜSSEN SOFORT ABGESCHOBEN WERDEN ! ist meine Meinung .",False,False,none,none,none,none,none,857935367578221,False
18,"Alle Länder um Deutschland wachen auf, versuchen Ihr Volk zu schützen. Nur bei uns ist der Wahnsinn noch am Merkeln! Ich hoffe das sie dieses Jahr noch gestürzt wird und das dann jemand kommt der für das Deutsche Volk arbeitet!",False,True,False,none,none,none,none,1057707157601040,False
19,Und Du ein Muraddin :) -- Komische Islamisierte Mischpoke Du,True,True,True,True,True,none,none,857644467607311,True
20,"Solange mir solche Trolle wie Du mit einem Fakeprofil schreiben, weiß ich auf der richtigen Seite zu stehen. :-)",False,True,False,none,none,none,none,894852810553143,False
21,"Natürlich müssen sich auch die Osteuropäer anpassen. Wenn ich AktenzeichenXY schaue, sehe ich dort nur Osteuropäische Täter. Die sehen Deutschland als Goldgrube. Auch die müssen sich anpassen.",False,False,none,none,none,none,none,857261437645614,False
22,Versuchs doch hier in Leipzig mal! Da kommen die Linksfaschisten und haun Dir mit nem Pflasterstein oder nem Böller an den Kopf! Und von unserem Herrn Jung und dem tiefroten Polizeipräsidenten werden die Linksfaschisten auch nochmit Polizei unterstützt!#,False,True,False,none,none,none,none,982773525094404,False
23,"Mohamed , von PEGIDA faseln und nichts über linke Gewalt zu erwähnen! Ist ganz arm. Denn diese Linke Gewalt nebelt das Grundgesetz aus und zerstört die Demokratie!!!!",False,True,False,none,none,none,none,885914131447011,False
24,"So schaut's  aus Christoph. Ich plädiere für Dresden als Verhandlungsort. Aber vorher gibt's noch den langen Fussmarsch in Ketten und Stahlkugel am Bein von Berlin nach Dresden. Und damit es richtig spannend wird darf die verarschte Bevölkerung sich seines faulen Obstes ""entledigen"".",False,True,False,none,none,none,none,993931893978567,False
25,"Ramon ist auch einer dieser Internethelden, die im Deckmantel ihres Pseudonyms die große Klappe haben.
Armselig.",False,True,False,none,none,none,none,982680268437063,False
26,"Gerade im ZDF gesehen, die ""Auswanderer"" haben die Polizei angegriffen !!! Sie bringen ihre Religion, ihre Kultur und ihre Gewaltbereitschaft (vor der sie ja gerade fliehen) mit !! Da hilft nur Abschreckung. Siehe Australien !! Sonst endet das im Untergang des Abendlandes :(",False,False,none,none,none,none,none,982664155105341,False
28,Leute merkt euch diese awo Dreckfressen. Eines Tages gibt's vielleicht was aufs Maul.,False,,none,none,none,none,none,1152508174787604,False
29,sag mal bisst du so hässlich oder warum zeigst du nicht dein gesicht ? oder ist das die neue nurka die du trägst ?,True,True,True,True,False,False,True,856750231030068,True
30,"Ich hab mir das Heut auch im Fernseh angeschaut und hab gedacht ich spinne!! Die Medien reden dieses Verhalten immer noch schön, es waren ja live Bilder und ich schwöre Euch ich sah weder wirklich Frauen noch Kinder nur Männer die dreckig in die Kammera grinsen und gewaltätig sind!! Ich hab immer gesagt Menschen die wirklich in Not sind sollte man Helfen aber das ist kein Spass mehr!! Langsam sollten sogar die letzten Gutmenschen merken das was uns ""Mutti"" ins Land geholt hat zu 80% nichts mit Kriegsflüchtlingen und traumatisierten Familien zu tun hat!!! Wer mir das jetzt noch erzählen will leidet unter Realitätsverlust!!! Merkel und der Rest dieser Verbrecher macht Deutschland kaputt!!",False,True,True,True,False,True,False,982801071758316,False
32,Verpiss dich mit deinem fake account. ..troll wo anders rum.,False,True,False,none,none,none,none,856756301029461,False
34,"Und kann gleich ihre ""Fachkräfte"" mitnehmen.",False,,none,none,none,none,none,994290803942676,False
35,"Es war die AfD. Oder Nazis, Aber von der AfD angestifftet.",False,False,none,none,none,none,none,951870438184713,False
36,Merkel ist nicht unsere Bundeskanzlerin sondern der neue Nazi Führer......,False,True,True,True,False,True,True,856797207692037,False
37,Heinz Reinhardt Nur ein idiot merkt es nicht das die nicht Deutsche im lande sich gut eingenestet haben und es past ihnen garnicht das Der Deutsche (Nazi) meckert,False,True,True,True,False,True,False,1012034585501631,False
38,http://www.presseportal.de/blaulicht/pm/19027/3178920 wieder Rudelangriff von Merkels Neudeutschen auf junge Frau,False,False,none,none,none,none,none,1010701945634895,False
39,Shirin 1993 sollingen rechtsradikale  verbrennen  ein Mehrfamilienhaus  haus 5 tote  jüngstes  opfer  erst drei jahre  alt!!Wer  ist schuld  alle deutsche?Nein!was du hier machst ist ein dreckiges spielchen!! Weiss  du auch warum weil diese schreckliche tat interessiert  dich nur weil du den nazi aus dir raushängen lassen  kannst!!das arme Mädchen  hätte dich sonst nicht mal gejuckt!!!ps. Lese mal richtig die  zeitung  dein deutscher Landsmann  wollte schon immer mal ein menschen brennen sehn also einer der mörder von maria!!!!eonfach nur pervers,False,True,False,none,none,none,none,858008004237624,False
40,"und ""rein zufällig"" sind auch wieder Horden von Journalisten anwesend...Alle ""Aktivisten"" festnehmen und einsperren. Die Flüchtlinge kommen von alleine gar nicht auf solche bescheuerten Ideen...",False,False,none,none,none,none,none,1096051000433322,False
41,Pegida hat Die provoziert und LÜGEN noch gar nicht gelesen. Oder aus dem Zusammenhang gerissen. Und absichtlich falsch interpretiert.,False,,none,none,none,none,none,935256856512738,False
42,Merkel  ist GRÖßTE SCHANDE IN GERMANY GESCHICHTE UND SIE IST NICHT ALLEIN NUR MIT GANZEN  BUNDESTAG UND VERFASUNG VERRÄTER RICHTER,True,True,True,True,True,none,none,1055356674502755,True
43,"Das ist so typisch. Diese Machohaltung ist doch bald nicht mehr zu ertragen. Die kleinen Jungen werden schon so machomässig erzogen. Das erlebe ich immer wieder z. B. beim Einkaufen. Rüpelhaft, schlechtes Benehmen und die Mütter stehen daneben und sagen nichts. Grrrrrrrrrr!",False,False,none,none,none,none,none,856855447686213,False
44,"Das is lachhaft und primitiv...
Ausgerechnet die ey... Da sind kaum kompetenzen am werk...überwigend 2jahre eingestellte billigkräfte die der bevölkerung die hilfe verweigern und gesetzeswiderig handeln aber migranten den arsch vergolden...selber kein fachwissen am start aber aufmucken und wie so n dummes gör  auf andere zeigen die hingegen NIEMANDEM  schaden oder sich dran bereichern... 

Lachflash.... Also der artikel wird bei mir im kalender als witz des tages makiert... Lol...",False,,none,none,none,none,none,876304525741305,False
45,fränkchen du schimmelmöse wattis denn da los fühlst du dich angegriffen? denk an meine worte: pegida geht unter!,True,True,True,True,False,False,True,857518137619944,True
46,Bald kommt die Asylanten Gewerkschaft !!!,False,False,none,none,none,none,none,885895764782181,False
47,"Das ist mir auch aufgefallen, meisten sind es junge Frauen, die noch grün sind. Vielleicht gehören die zu den versprochenen 77 Jungfrauen.",False,False,none,none,none,none,none,856806847691073,False
48,"Jetzt sieht man das wahre Gesicht der armen Flüchtlinge !!! Wenn's nicht läuft terror machen !!
Und sowas holt unsere Regierung freiwillig ins Land ...unglaublich",False,True,False,none,none,none,none,982646241773799,False
49,"Was ich an Merkels Stelle oder der eines neuen Kanzlers tun würde? 

Gesetze würde ich klipp und klar einhalten und diese nicht brechen. Ich würde diese weit über 600000 im Januar diesen Jahres bereits Ausreisepflichtigen sofort medienwirksam außer Landes bringen.
Die Grenzen würde ich dichtmachen und kontrollieren und bewachen, so dass von den Ausgewiesenen und auch sonst niemand unberechtigt (wieder-)einreist.

In der DDR lebten bsplw. Vietnamesen, Kubaner , Deutsche problemlos miteinander. Keiner musste Angst vor aggressiven Gewalttaten haben. Die Kinder konntest Du stundenlang alleine raus in Stadt und Land lassen. Die waren spätestens beim Hunger wieder am Tisch. Alles entspannt.

Die Grenzen waren ab 1989 auch für DDR-Bürger in alle Richtungen offen, aber weiterhin nach außen bewacht. Das war in Ordnung so und das deutsche Volk geschützt.
Erst mit dem Schengen-Abkommen wurden den Diebesbanden usw. Tor und Tür ungebremst geöffnet.
Die deutschen Außengrenzen konnten jahrhundertelang erfolgreich geschützt und bewacht werden.
Lasst Euch keine Märchen erzählen, dass die nicht geschützt werden können.
Bundeswehr, Bundespolizei, Reservisten, Freiwillige und unfreiwillig verpflichtete Menschen (tageweise) könnten die Grenzen wieder aufbauen und bewachen.

Lieber gutgläubiger Mitmensch, wir kämpfen auch für Deine sichere Zukunft. Du erkennst leider die Tragweite der kurz- und mittelfristigen Gefahren für Dich und Deine Mitmenschen nicht, wie es scheint.",False,,none,none,none,none,none,1011570478881375,False
50,"Kein Angst, wenn das Drecksging steht renne ich mit Dynamit rein!",False,False,none,none,none,none,none,1105882786116810,False
51,Gleich alle grün und blau schlagen was anderes kennen die doch nicht .,False,False,none,none,none,none,none,1095900310448391,False
52,"Welches Land hat denn 1953 im Iran ein Putsch mit Hilfe des Geheimdienstes CIA durchgeführt? Die USA! Seit 1953 bomben die jedes Land in Nahen Osten in Grund und Boden und finanzieren Milizen, die dann zu Terrororganisation werden. 550 Milliarden Dollar setzt die Rüstungsindustrie der USA jährlich um. Die wollen doch gar keinen Frieden auf der Welt. Je mehr es knallt, desto mehr kann dieses insolvente Land an Kohle abzweigen. Schickt die ganzen Flüchtlinge doch mal zu den Amis. Mal gucken wie es dann im nahen Osten weitergeht.",False,False,none,none,none,none,none,1055245557847200,False
53,"Du sagst es. Pegida ist eine Bürgerbewegung. Die Menschen haben kein Vertrauen in Parteien, deswegen wäre es meiner Meinung nach der falsche Weg eine Partei zu gründen. Vertrauen beruht auf Mitspracherecht - eine Partei hat in unserer heutigen Politiklandschaft ein Wahlprogramm. Das aber nur den geringsten Teil der eigentlichen Aktionen und Entscheidungen widerspiegelt. Oder welche Partei hatte im Wahlprogramm den Punkt: Waffenlieferung an andere Länder, um Kriege zu unterstützen und die Kollateralschäden (Kriegsflüchtlinge, Verletzte...) ins eigene Land zu importieren...?",False,False,none,none,none,none,none,935471979824559,False
54,Ich suche schon ewig Arbeit und solche beschissenen Ausländer Pakis werden eingestellt. Was is das für ne beschissene Theorie????,False,False,none,none,none,none,none,876247789080312,False
55,"Herr Toden...usw packen sie ihr Ränzel schnappen sich ihre 6 Mill. Moslemfreunde und wandern sie bitte in die islamische Welt aus. Bitte bereichern sie Saudi Arabien mit ihren "" Weisheiten"". Deutschland, aber auch Europa braucht keine Todenh... usw.",False,True,False,none,none,none,none,894666533905104,False
56,"Schleuser brachte Flüchtlinge nach Deutschland
Bei den Iranern handelt es sich offenbar um Flüchtlinge, die mit Hilfe eines Schleusers nach Deutschland gelangt sind......................Wie es mit den Flüchtlingen und dem Schleuser nun weitergeht, ist derzeit noch unklar...................... die armen armen flüchtlinge wohnen im hotelzimmer ...traurig ;-) (keine gutmenschen mehr in münchen, die sie aufnehmen könnten?)",False,False,none,none,none,none,none,1011600738878349,False
57,Die sehn ja sowas von kriegstraumatisiert aus das einen das k...kommt !!!!,False,False,none,none,none,none,none,1096101507094938,False
59,"Linke haben Deutschland auch nicht voran gebracht.  Eher in den Abgrund. ..
Die goldene Mitte ist das Stichwort auch wenn in der Politik fast alles Links Grün versifft ist",False,False,none,none,none,none,none,888195264552231,False
60,"Michael Diez-Hammer Lummel ??? Ihr macht euch hier sowas von lächerlich, das ihr euch nicht dumm vorkommt zumal ihr es ja auch augenscheinlich seid. Der Herr Diez mit seinen immer gleichen Kommentaren möchte als sehr intellektuell gebildet erscheinen und meint er steht über den Dingen und die Meinung anderer ins lächerliche ziehen ...!!! Und der andere Hammel sollte sich erstmal schlau machen was ""Feuer Frei"" noch bedeuten könnte und somit jeder Klage standhält. Was für arme Würstchen ihr doch seid...!!!",True,True,True,True,False,False,True,982803365091420,True
61,"Da den verbloedeten Linksversifften nie irgendwelche guten Gegenargumente einfalllen, weissen sie fuer gewoehnlich auf voellig themenirrelevante Themen wie Rechtschreibung oder Grammatik hin.",False,False,none,none,none,none,none,961014363936987,False
63,Ist das nicht die Ultima Ratio ? also gebrauch von Schusswaffen nötig ? ;),False,False,none,none,none,none,none,1107843055920783,False
64,"Welche Studie sagt, dass die Ärzte, Ingenieure und Architekten, den Bildungsstand eines Viertklässlers haben.",False,False,none,none,none,none,none,994185507286539,False
65,"solange es die mauer gab waren wir die antifaschisten, ihr seid nur ein armseeliger haufen.",False,False,none,none,none,none,none,858380064200418,False
66,"das Pack,die Mischpoke,die Dunkeldeutschen,die welchen man nicht vertrauen darf,denen man nicht folgen soll,werden immer mehr.
Die Reihen der selbsternannter Zivilgesellschaft ,die Guten,die Ehrenhaften derden immer löchriger,hatten wir 89 schon mal,irgendwie.",False,False,none,none,none,none,none,1013018932069863,False
67,mitbürger/ innen???? jetzt fangt ihr auch schon mit diesem schwachsinn an!,False,False,none,none,none,none,none,856758237695934,False
68,Fordert endlich Volksabstimmung über den Asylscheis,False,False,none,none,none,none,none,945853278786429,False
69,"Genügend Braun und einen weiblichen Muhammedname??dann läufts.Iphone ,Wohnung (oder Zelt) Koch und Putzpersonal.Schwimmkurse ,Grillabende bei der Kirche,Fussballspiele und und und alles kein Problem mehr.Sehr gut aussehende Fahrräder gibts vielleicht auch noch.Gestern erst 2 gesehen.",False,False,none,none,none,none,none,960909320614158,False
70,kein einziger hartz4 empfänger bekommt zu kostenlosem wohnen und kostenlosem essen noch 340.- euro taschengeld - keiner!!!! wieso steht das diesen ...... zu ?,False,False,none,none,none,none,none,1111489462222809,False
71,Die lächerliche Anzeige wegen des Mistgabelsatzes wird auf dem Misthaufen der Gerichte landen - sprich: Einstellung wegen Geringfügigkeit. Alles andere ist primär.,False,False,none,none,none,none,none,1043589502346139,False
72,"Man sieht doch wie verlogen die Pegida-Organisatoren sind: Erst tritt Lutz Bachmann angeblich zurück. Heute stellt sich heraus, dass Frau Oertel deswegen zurücktritt, weil Lutz Bachmann nicht zurückgetreten ist und immer noch im Hintergrund die Fäden in der Hand hält. Was für ein schäbiger Haufen. Und die nennen sich Verteidiger des Abendlandes. Und Ihr rennt ihnen auch noch hinterher.",False,True,True,True,False,True,False,858400670865024,False
73,"Ich würd die ins Arbeitslager stecken wo sie Fertighäuser bauen  für Obdachlose,aber in einem 1 A Zustand.",False,False,none,none,none,none,none,1107838659254556,False
74,"Wie soll das enden? Naher Osten destabllisiert, der Osten auch, und jetzt Europa.
Meine Meinung nicht das Volk, sondern das System muss ausgetauscht werden.",False,False,none,none,none,none,none,856753931029698,False
75,"Pegida muss sich sofort von diesem Lutz Bachmann trennen. Das anmassende Verhalten dieses vorbestraften Wichtigtuers ist peinlich fuer ganz Deutschland. Sollte Pegida diesem Mann keinen Tritt in den Hintern verpassen und evtl. anderen voellig unfaehigen Personen auch , dann hat Pegida keinerlei Daseinsberechtigung mehr.Dann wuerde Pegida in keinster Weise mehr fuer das Volk sprechen.",False,True,False,none,none,none,none,885486088156482,False
76,Dafür sind Roten Schweine und grüne Kinderficker Partei verantwortlich im Bundesrat.,True,True,True,True,True,none,none,952158638155893,True
77,"Herr Kriese . Man könnte aber auch diese ganze (kriminelle) Energie für Veränderungen im eigenen Land einsetzen.  Immerhin reicht ein verbünden dieser ""traumatisierten"" Menschen ja auch dafür aus um ihre, mit Verlaub, schmarotzerhaften Forderungen durchzusetzen.",False,True,False,none,none,none,none,1096026103769145,False
78,zuwas braucht man eigene Fachkräfte ? Die werden doch importiert ! ;-),False,False,none,none,none,none,none,882033291835095,False
79,",,,,ist doch normal das immer was gefunden wird .Mit der Zahl der Neuankömmlinge steigt auch die Wahrscheinlichkeit eines ehrlichen Finders. Es müssen also seeeeehr viele Neuankömmlinge sein ?",False,False,none,none,none,none,none,1065154363522986,False
80,Über die Ossis damals gemault! Die schwarzen willkommen heißen! Ihr seid ja Bazis,False,,none,none,none,none,none,946609042044186,False
81,"So viel zur Integration und Vermittlung deutscher Werte. Da die neuen Bürger überhaupt kein Weinachten feiern, muss doch auch nichts geändert werden.",False,False,none,none,none,none,none,1012235318814891,False
82,"Britta Müller So wie bei Dir die Rechtschreibschwäche, mal abgesehen von den anderen Schwächen die Du besitzt...",False,True,False,none,none,none,none,1056531561051933,False
83,"Wenn Heino noch paar Haare hätte, dann wären sie auch blond. Warum: Die Wahrscheinlichkeit, dass doofe Menschen blond sind, ist recht hoch. ;-)",True,True,True,True,False,False,True,963599823678441,True
84,die solln im eigenem land kämpfen - brauchen nicht so weit reisen um unruhe zu stiften,False,False,none,none,none,none,none,982699331768490,False
86,"Schwulenhaußen ...??? Finger in den Po, Bahnhofsklo ...?",False,False,none,none,none,none,none,1035126343192455,False
87,"Hervorragend , Björn. Diesen Weg der Islamisierung werden wir nicht mitgehn, und daher werden die Islamknechte der altpartei-Mafia Pfründen verlieren. Die AfD wird den Platz einnehmen, die Mafia wird rausgekickt. Laßt euch doch aus USA eure überhöhten Pensionen zahlen ihr Wegelagerer von der Mafia. Laßt euch doch von den Yankees schmieren !! unser geld kriegt ihr nicht mehr ihr Diebe !",False,False,none,none,none,none,none,1121616887876733,False
88,[@IND] wie Du sind der Grund das Deutschland weiterschläft und total verbödet. Spar Dir Deine hirn und sinnlosen Antworten auf meine Posts Du Opfer !!!!,True,True,True,True,False,False,True,857352790969812,True
89,Sowas soll in unseren Land die so ein stress machen abartig diese Horden das sind Menschen  die nix im kop haben weg damit geht nach hause,False,False,none,none,none,none,none,982646015107155,False
90,Erhäng dich Schleicher oder wie auch immer du Pussy heisst tu Deutschland einen gefallen ....Adios,True,True,True,True,True,none,none,1012444858793937,True
91,"je,wo sind die weibsen denn nur,wenn demo war!ich war in aue,mehrfach in chemnitz u dresden u meist sah ich männer!!!!
also,wo sind sie,die frauen mit eiern,die sich politisch interessieren?wo?!einige wenige ausnahmen,denen ich den gleichen respekt entgegenbringe,wie den männern...die meisten damen interessiert das aber trotzdem nicht u da kannst du auf u niederhüpfen,wie du willst...
die dame oben sagte doch selbst,dass sie angst hat,als nazi zu gelten,oder?!es sollte ihr aber scheißegal sein,was andere denken!aber in münchen muss man sich ja gegenseitig was vormachen,als mal allen zu zeigen,hier,dass bin ich u das ist es,was ich denke u fühle u es ist mir egal,ob ihr hinter meinem rücken labert(als wenn die menschen das nicht auch so schon tun würden,ohne das man irgendetwas besonderes tut)

im übrigen stand ich da,als in chemnitz plötzlich gegendemonstranten zwischen uns waren u wir getrennt wurden.da kamen diese nachjacken u wollten einen lächerlichen sturmangriff führen,aber die polizei war da...ich bin bereit,zu kämpfen,wenn wir angegriffen werden!du auch?!
u ja,ich gebe dir in den punkt recht,auch ich  kenne diese typen,die,wenn se was gesoffen haben,erzählen,was sie alles tun würden u es dann nicht mal zu ner demo schaffen,zu der sie 5min weg hätten,zu der ich 45min fahre...u diese maulhuren kotzen mich genauso an,wie diese ignoranten weiber!!!!",False,False,none,none,none,none,none,945922665446157,False
92,"U Bahn schubser war ein deutscher mit Iranischen Wurzeln, wie sollte es auch anders sein http://www.bild.de/regional/berlin/vorsaetzliche-toetung/mann-stoesst-frau-vor-ubahn-44221754.bild.html",False,True,False,none,none,none,none,1044172618954494,False
94,"sehr treffend formuliert,du sprichst mir aus dem Herzen...ich wohne auf dem Land in einem Dorf mit ca. 4 Tausend Einwohner nahe der französischen Grenze, seit etwa einem halben Jahr werden wir hier förmlich von diesen ""Facharbeiter"" überrannt.Kopftücher an jeder Ecke wo man nur hinschaut. Da kommen ganze Sippschaften,das sind alles Großfamilien.Eine davon,die erst vor kurzem in ein altes Haus auf der anderen Straßenseite einzog hat als erstes mit großen Buchstaben das Wort Ramadan auf die Fensterscheibe geschrieben,und das müssen wir alles mit Toleranz und Emphatie so hinnehmen bis zu unserem Untergang,denn das ist alles von unserer Verräterregierung so gewollt.",False,True,False,none,none,none,none,1152539311451157,False
95,"Die zwei Schwuchteln sind doch total verblödet, so wie unsere vor PC und PlayStation vergammelnde junge Generation. Die finden diese Homos auch noch geil! Da sieht man schon, was noch an Hirn vorhanden ist. Eigentlich brauchen wir uns gar nicht um die Zukunft der Deutschen zu sorgen, die sind es nicht mehr wert. Ich habe nur bedenken, dass der Islam sich so schnell ausbreiten wird und mir bald der Kopf abgeschnitten wird!",True,True,True,True,False,False,True,1010835515621538,True
96,"Heute morgen auf Radio Gütersloh: Gestern haben im Kreis Gütersloh 3 Flüchtlinge versucht andere Flüchtlinge für den IS anzuwerben! Konsequenzen: Zur ""Strafe"" wurden die drei in andere Unterkünfte verteilt! Sind die jetzt völlig wahnsinnig geworden? Diese Regierung ist völlig unfähig! Abschieben wäre die richtige Antwort gewesen!",False,True,False,none,none,none,none,1011498575555232,False
97,"Die bekommen doch alles UMSONST.Wir, die Steuerzahler geben denen doch unser Letztes Hemd. Wir die Bürger dieses Staates bezahlen ja ihren Aufenthalt im Land. Die Sozialkassen wurden ja durch die Kanzlerin geöffnet. Sie holte ja die Welt nach Deutschland. Und diese GutMenschen machen wieder Rabatz. Wenn es einen Flüchtling in Deutschland nicht gefällt. Kann er ja gehen. Ab nach Frankreich !!! Nach einen Tag steht dieser wieder an der Grenze. Ich möchte wieder ins Land BITTE BITTE",False,False,none,none,none,none,none,1111325292239226,False
98,Richtig den ZDM sollte man abschaffen.Denn dort finden Terroisten unterschlumpf. Es ist so dass diese Wahnsinnigen erst Ihrer Oberhäuptlinge informieren was Sie vorhaben und die geben den Terroristen den Segen. Und dann setzt sich der Pomadenkopf in Talkshow und behauptet Er wissen von nichts und alle Moslems wären Engel. (Das glauben die Gutmenschen auch). Molsem sollten erst gar nicht im Fernsehen auftreten wenn ich die mit Kopftüscher im DEUTSCHEN Fernsehe sehe.,False,True,False,none,none,none,none,1085547898150299,False
99,"Die letzten Sätze machen mich da wütend ""JUNGE MÄNNER "". 

Warum sind eigentlich die meisten Flüchtlinge junge Männer ?? Weil keine Kinder und Frauen ?? Die hätten es viel mehr nötig. 

Stattdessen holen wir uns solche rein die schon im Heim gewalttätig sind ;) 

Aber das kommt davon wenn man Menschen in ein Land steckt das ihnen 20 Jahre voraus ist. Man lässt auch keinen Wilden Wolf in eine Wohnsiedlung ...",False,False,none,none,none,none,none,882706335101124,False
100,Bananenrepublik Deutsch-Schwarzafrika!',False,False,none,none,none,none,none,995792993792457,False
101,"sie sind es nicht gewöhnt in häusern zu leben,gebt ihnen hölen und erdlöcher.da wohnen sie wie zu hause ;-) und der kulturschock ist nicht so groß",False,False,none,none,none,none,none,857784670926624,False
102,Habe heute maximal pigmentierte u Asiaten gesehen völlig freilaufend ??????,False,False,none,none,none,none,none,857037377668020,False
103,Habe einen Kommentar unter seinen verlogenen Artikel geschrieben. Der wurde nach exakt 3 Min gelöscht. Die Wahrheit verträgt der Volksverhetzer Totenhöfer offensichtlich nicht.,False,True,True,True,False,True,True,894683777236713,False
105,Nicht nah genug für dich!!!geh dahin wo du hergekommen bist und verteile da deine dummen Sprüche .Den das ist eine deutsche Seite.Kameltreiber,True,True,True,True,False,False,True,855148311190260,True
106,Macht die Schotten dicht ! Parasiten abwehren mit allen Mitteln !!!,False,False,none,none,none,none,none,1057946414243781,False
